Abk;Kurzname;Ländercode;Locationcode;Gültig ab
XNTH;`t Harde;;;
YMMBM;6,1/60,3 Bad MGH;DE;10492;2008-12-14
KA;Aachen Hbf;DE;10002;2008-12-14
KASZ;Aachen Schanz;DE;10004;2008-12-14
KAS;Aachen Süd;DE;10005;2008-12-14
KXA;Aachen Süd Gr;DE;10006;2008-12-14
KAW;Aachen West;DE;10007;2008-12-14
KAW G;Aachen West Gbf;DE;10008;2008-12-14
KXAW;Aachen West Gr;DE;10009;2008-12-14
KAW P;Aachen West Pbf;DE;10010;2008-12-14
KAW W;Aachen West Wk;DE;10011;2008-12-14
KAG;Aachen-Gemmenich;DE;10012;2008-12-14
XDA;Aalborg;;;
XDAV;Aalborg Vestby;;;
TA;Aalen;DE;10017;2008-12-14
XBAAL;Aalter;;;
XSA;Aarau;;;
XSABO;Aarburg-Oftring;;;
XDAR;Aarhus H;;;
XDARH;Aarhus Havn;;;
XMAA;Abaliget;;;
XCAB;Abdulino;;;
HABZ;Abelitz;DE;10018;2008-12-14
KAB;Abenden;;;
MABG;Abensberg;DE;10020;2008-12-14
XMAH;Abrahamhegy;;;
NAHF;Aburg Hochschule;DE;10303;2013-06-12
NAH G;Aburg-Goldbach;DE;10302;2013-06-12
EDOBZ;Abzw Dbw;DE;12334;2008-12-14
HACC;Accum;DE;10021;2009-12-13
XFAC;Acheres Triage;;;
RAH;Achern;DE;10022;2008-12-14
RAH H;Achern      Bstg;DE;10023;2010-12-12
RAH F;Achern (F);DE;10024;2008-12-14
RAHG;Achern DB/SWEG;DE;10025;2009-12-13
XFAH;Achiet;;;
HACH;Achim;DE;10026;2008-12-14
HQAC;Achim NI/HB;DE;10027;2008-12-14
RAK;Achkarren;;;
HAMR;Achmer;DE;10028;2008-12-14
HQAM;Achmer NI/NRW;DE;10029;2008-12-14
XNAT;Acht;;;
AACW;Achterwehr;DE;10031;2013-05-16
XIAA;Acireale;;;
XIAQT;Acqui Terme;;;
KAREG;Ac-Rothe E Gbf;DE;10015;2008-12-14
KAREP;Ac-Rothe E Pbf;DE;10016;2008-12-14
KARE;Ac-Rothe Erde;DE;10013;2008-12-14
XFAD;Adamswiller;;;
HADB;Adelebsen;DE;10034;2008-12-14
HADH;Adelheide;;;
MAD;Adelschlag;DE;10035;2008-12-14
NADM;Adelsdf/Mittelfr;DE;10036;2008-12-14
RADN;Adelsheim Nord;DE;10037;2008-12-14
TAD;Adelsheim Ost;DE;10038;2008-12-14
AADF;Adendorf;DE;10040;2008-12-14
XUAJ;Adjud;;;
XCAD;Adler;;;
DADO;Adorf (Erzg);DE;10041;2008-12-14
DADG;Adorf (V) DB-Gr;DE;10043;2013-02-27
DAD;Adorf (Vogtl);DE;10042;2008-12-14
TAF;Affaltrach;DE;10044;2008-12-14
XSAA;Affoltern Albis;;;
XSAW;Affoltern-Weier;;;
MAGD;Agatharied;DE;10045;2008-12-14
AABG;Agathenburg;DE;10046;2008-12-14
XFAG;Agde;;;
RAG;Aglasterhausen;DE;10047;2009-08-01
XIACC;Agliano-C C;;;
XIAG;Agrigento Centr.;;;
RA;Aha;DE;10048;2008-12-14
EAHS;Ahaus;DE;10049;2008-12-14
HAHN;Ahausen;;;
WABG;Ahlbeck Grenze;DE;10050;2008-12-14
WABO;Ahlbeck Ostseeth;DE;10051;2008-12-14
HAHM;Ahlem;DE;10053;2008-12-14
EAHL;Ahlen (Westf);DE;10054;2008-12-14
EAHLG;Ahlen Gbf;DE;10055;2008-12-14
EAHLH;Ahlen Notbstg;DE;10056;2009-12-13
HAHO;Ahlhorn;DE;10057;2008-12-14
HAH;Ahlshausen;DE;10058;2008-12-14
HALT;Ahlten;DE;10059;2008-12-14
FATC;Ahnatal-Casselbr;DE;10060;2011-12-11
FHEH;Ahnatal-Heckersh;DE;10061;2011-12-11
FWEI;Ahnatal-Weimar;DE;10062;2011-12-11
MAHN;Ahrain;DE;10063;2008-12-14
KBRU;Ahrbrück;DE;10064;2013-06-12
AAHR;Ahrensburg;DE;10066;2008-12-14
AAHN;Ahrensburg Nord;DE;10067;2008-12-14
AQAH;Ahrensburg SH/HH;DE;10068;2008-12-14
AAHG;Ahrensburg-Gh;DE;10069;2009-12-13
BAFR;Ahrensf Friedhof;DE;10073;2008-12-14
BAFN;Ahrensf Nord;DE;10074;2008-12-14
AARF;Ahrensfelde;;;
BAHR;Ahrensfelde;DE;10070;2008-12-14
BAF;Ahrensfelde  S-B;DE;10071;2008-12-14
BQAH;Ahrensfelde LGr;DE;10072;2008-12-14
KAH;Ahrweiler;DE;10075;2008-12-14
KAHM;Ahrweiler Markt;DE;10076;2008-12-14
MAIC;Aich/Nbay;DE;10077;2008-12-14
MAI;Aichach;DE;10078;2008-12-14
TAI;Aichstetten;DE;10079;2008-12-14
XCAI;Aidyrlia;;;
XSAL;Aigle;;;
XFAB;Aigueblanche;;;
XFAM;Aime-la-Plagne;;;
MAIN;Ainring;DE;10083;2008-12-14
MAIL;Aipl;;;
XIAE;Airole;;;
XSAI;Airolo;;;
TAIB;Aischbach;DE;19714;2008-12-14
MAIT;Aitrang;DE;10084;2008-12-14
XFAX;Aix-en-Prov TGV;;;
XFAI;Aix-les-Bains;;;
XMAJ;Ajka;;;
XMAG;Ajka-Gyartelep;;;
LAK;Aken (Elbe);DE;10085;2012-11-01
XOA;Al;;;
XIAL;Ala;;;
XIAO;Alassio;;;
XIALB;Alba;;;
XIALA;Alba Adriatica;;;
XUAI;Alba Iulia;;;
XIAT;Albate Camerlata;;;
RAL;Albbruck;DE;10086;2008-12-14
XIAB;Albenga;;;
AAL;Albersdorf;DE;10087;2008-12-14
EABL;Albersloh;;;
RAR;Albersweiler(Pf);DE;10088;2008-12-14
XFAL;Albertville;;;
FAG;Albig;DE;10090;2008-12-14
LALB;Albrechtshaus;;;
FALS;Albshausen;DE;10092;2008-12-14
RAM;Albsheim(Eis);DE;10093;2008-12-14
TAOM;Albst.-Onstmett.;;;
TATA;Albst.-Tailfing.;;;
TATR;Albst.-Truchtel.;;;
TAE;Albstadt-Ebingen;DE;10094;2008-12-14
TAL;Albstadt-Laufen;DE;10096;2008-12-14
TAEW;Albst-Ebing West;DE;10095;2008-12-14
TALO;Albst-Laufen Ort;DE;10097;2008-12-14
TALT;Albst-Lautlingen;DE;10098;2008-12-14
KALK;Aldekerk;DE;10101;2009-12-01
TALD;Aldingen b Spai;DE;10102;2008-12-14
ZUAL;Aleksandriia;;;
XPAK;Aleksandrow Ku;;;
XJA;Aleksinac;;;
XOAN;Alen;;;
XFALN;Alencon;;;
XFALE;Ales;;;
XUAE;Alesd;;;
XIAS;Alessandria;;;
MALH;Aletshausen;DE;10103;2008-12-14
BALX;Alexanderplatz;DE;10830;2008-12-14
XGAX;Alexandroupolis;;;
LAX;Alexisbad;;;
HALF;Alfeld (Leine);DE;10104;2008-12-14
HAHS;Alfhausen;DE;10105;2008-12-14
KALF;Alfter;;;
KALI;Alfter-Impekoven;DE;10106;2011-10-12
HALG;Algermissen;DE;10107;2008-12-14
XMAY;Algyö;;;
XIAI;Ali Terme;;;
XIABC;Alice Belcolle;;;
HALI;Aligse;DE;10108;2008-12-14
XVAS;Alingsas;;;
NALI;Alitzheim;DE;10109;2008-12-19
XDAK;Alken;;;
XBAE;Alken         BE;;;
XNAL;Alkmaar;;;
LSTG;Allee Center;DE;16203;2012-01-06
FALD;Allendorf (Eder);DE;10111;2011-12-11
FADD;Allendorf/Dillkr;DE;10110;2008-12-14
RAB;Allensbach;DE;10115;2008-12-14
XAAH;Allerheiligenh;;;
AALH;Allermöhe;DE;14420;2008-12-14
AALM;Allermöhe;DE;14419;2008-12-14
NALB;Allersb(Rothsee);DE;10116;2008-12-14
TALL;Allmendingen;DE;10118;2008-12-14
RDOA;Allmendshofen;DE;12294;2008-12-14
XMAL;Almasfüzitö;;;
XNAO;Almelo;;;
HARB;Almena-Rickbruch;;;
XNAOO;Almere Oostvaard;;;
XVAH;Almhult;;;
HAL;Almstedt;DE;10120;2008-12-14
XOAL;Alnabru;;;
KALP;Alpen;DE;10121;2008-12-14
KALA;Alpen     Awanst;DE;10122;2008-12-14
XNAR;Alphen a d Rijn;;;
RALP;Alpirsbach;DE;10123;2008-12-14
XQA;Alsancak;;;
EGNP;Alsdorf (Sieg);;;
KADA;Alsdorf-Annapark;;;
KADB;Alsdorf-Busch;;;
KKEL;Alsdorf-Kellersb;;;
KMAD;Alsdorf-Mariadf;;;
KADP;Alsdorf-Poststr;;;
AALS;Alsen;DE;15254;2008-12-14
AALG;Alsen DB-Gr;DE;10127;2009-12-13
SAZ;Alsenz;DE;10128;2008-12-14
FAFD;Alsfeld/Oberhess;DE;10129;2008-12-14
FAHM;Alsheim;DE;10131;2008-12-14
XMAB;Alsobelatelep;;;
XMAO;Alsogyenes;;;
BAHZ;Alt Herzberg;;;
WAHU;Alt Hüttendorf;DE;10135;2008-12-14
KMKW;Alt Merkstein;;;
BARF;Alt Reinickend;DE;10831;2008-12-14
BARO;Alt Rosenthal;DE;10138;2008-12-14
WAS;Alt Schwerin;;;
XIALT;Altare;;;
XCAL;Altata;;;
TACH;Altbach;DE;10139;2008-12-14
TACHF;Altbach F;DE;10140;2008-12-14
BAD;Altdöbern;DE;10141;2008-12-14
BADS;Altdöbern Süd;DE;10143;2010-10-01
XSADF;Altdorf;;;
NAD;Altdorf (b Nür);DE;10144;2008-12-14
NADW;Altdorf West;DE;10147;2008-12-14
AWHOS;Alte Süderelbe;;;
NAVE;Alte Veste;DE;13516;2008-12-14
AAW;Alte Wöhr;DE;14377;2008-12-14
XFAT;Alteckendorf;;;
WAF;Altefähr;DE;10148;2008-12-14
EALN;Altena;DE;10149;2008-12-14
KALT;Altenahr;DE;10150;2008-12-14
MALT;Altenau (Bay);DE;10151;2008-12-14
XSAR;Altenb.-Rheinau;;;
LALT;Altenbach;DE;10152;2008-12-14
SAB;Altenbamberg;DE;10153;2009-11-01
HAAT;Altenbek./Tunnel;DE;10157;2008-12-14
HA;Altenbeken;DE;10154;2008-12-14
HAAK;Altenbeken/Kurve;DE;10156;2008-12-14
DAG;Altenberg (Erzg);DE;15972;2008-12-14
EABG;Altenberge;DE;10158;2008-12-14
HATB;Altenboitzen;;;
LA;Altenburg;DE;10159;2008-12-14
LA  W;Altenburg Pbf W1;DE;10161;2008-12-14
XSAD;Altendorf;;;
MANE;Altenerding;DE;10164;2008-12-14
HALE;Altenesch;;;
FATF;Altenfeld (Rhön);DE;10165;2008-12-14
SALG;Altenglan;DE;10166;2008-12-14
AAT;Altengörs;DE;10167;2008-12-14
LAGR;Altengrabow;DE;10168;2008-12-14
NAG;Altengronau;DE;10169;2008-12-14
LALH;Altenhain;DE;10171;2011-07-12
FAHN;Altenhasungen;DE;10172;2008-12-14
LANH;Altenhausen(Hdl);DE;10173;2008-12-14
HAHG;Altenhgn (Celle);;;
EA;Altenhundem;DE;16303;2013-01-01
KAKG;Altenkirchen Gr;DE;10177;2008-12-14
KAK;Altenkirchen(Ww);DE;10176;2008-12-14
XAAL;Altenmarkt i.P.;;;
MATM;Altenmarkt/Alz;DE;10178;2008-12-14
XSAF;Altenrhein Flugz;;;
HALR;Altenrheine;DE;10179;2008-12-14
HASK;Altensalzkoth;;;
NAS;Altenschwand;DE;10180;2008-12-14
EASE;Altenseelbach;DE;10181;2008-12-14
NALW;Altenstadt (W);DE;10186;2008-12-14
FAST;Altenstadt/Hess;DE;10183;2008-12-14
MASI;Altenstadt/Iller;DE;10184;2008-12-14
FHTN;Altenst-Höchst;DE;10187;2008-12-14
FLIN;Altenst-Lindheim;DE;10188;2008-12-14
WATR;Altentreptow;DE;10189;2008-12-14
AWHOO;Altenwerder Ost;;;
WALW;Altenwillershgn;DE;10191;2008-12-14
UACH;Altersbach;DE;10192;2008-12-14
BJA;Altes Lager;DE;10193;2008-12-14
EATF;Altfeld;;;
RAT;Altglash-Falkau;DE;10195;2008-12-14
BAGL;Altglienicke;DE;10980;2008-12-14
MAHB;Althegnenberg;DE;10196;2008-12-14
FAT;Altheim (Hess);DE;10198;2008-12-14
MATH;Altheim/Nbay;DE;10199;2008-12-14
WAH;Althof;DE;10200;2008-12-14
TAG;Altingen (Württ);;;
XSAH;Altishausen;;;
MASN;Altmannstein;DE;10202;2009-01-27
FKALR;Altmarkt/Regpräs;;;
DAMD;Altmittweida;DE;10203;2008-12-14
FAMO;Altmorschen;DE;10204;2008-12-14
DAMG;Altmügeln;;;
XSAT;Altnau;;;
MAMT;Altomünster;DE;10205;2008-12-14
AAS;Altona (S-Bahn);DE;14422;2009-02-14
DAOR;Altoschatz-Rosen;;;
MAT;Altötting;DE;10206;2008-12-14
BART;Altranft;DE;10207;2008-12-14
WAR;Altruppin;;;
TASF;Altschmiedelfeld;;;
TAT;Altshausen;DE;10209;2008-12-14
TATG;Altshsn DB/RöBSP;DE;10210;2012-12-09
MATS;Altstädten/Allg;DE;10211;2008-12-14
XSAS;Altstätten SG;;;
TATN;Alttann;DE;10212;2008-12-14
XVAA;Älvängen;;;
XOAV;Alvdal;;;
HAVD;Alverdissen;;;
AAV;Alvesloe;;;
XVAL;Alvesta;;;
KWIS;Al-Witterschlick;DE;21233;2008-12-14
FAZB;Alzenau Burg;;;
FAZUN;Alzenau Nord;;;
FAZU;Alzenau(Unterfr);;;
FALZ;Alzey;DE;10214;2008-12-14
FAZG;Alzey DB-Grenze;DE;10215;2013-06-12
FAZS;Alzey Süd;DE;10217;2008-12-14
XLAL;Alzingen;;;
FKBHA;Am Kupferhammer;;;
EAOH;Am Obsthof;DE;16968;2008-12-14
FKASA;Am Stern v Altm;;;
FKASK;Am Stern v Köpl;;;
FKASL;Am Stern v Lupl;;;
FKNZW;Am Weinberg;;;
XVAM;Amal;;;
NAM;Amberg;DE;10218;2008-12-14
NAMD;Amberg Dorfner;DE;10219;2008-12-14
NAKW;Amberg Kaolin 1;DE;10220;2008-12-14
NLAH;Amberg Lagerh Sb;DE;10221;2008-12-14
NSTL;Amberg Stöllger;DE;10222;2008-12-14
XFAE;Amberieu;;;
HALS;Amelingh Sottorf;;;
MAMG;Amerang;DE;10224;2010-07-01
XNAMV;Amersf Vathorst;;;
XNAM;Amersfoort;;;
LAMH;Ammelshain;DE;10226;2011-07-12
UAMM;Ammern;DE;10227;2008-12-14
NAMB;Amorbach;DE;10228;2008-12-14
MAPF;Ampfing;DE;10229;2008-12-14
LAMS;Amsdorf;DE;10230;2008-12-14
XNAS;Amst Sloterdijk;;;
XNAV;Amstd Westhaven;;;
XNAB;Amsterd Bijlmer;;;
XNAHP;Amsterd Houtrakp;;;
XNAC;Amsterdam C;;;
XNAW;Amsterdam WGM;;;
XNAWZ;Amsterdam WZ;;;
XNAZ;Amsterdam Zuid;;;
XNAA;Amsterdam-Amstel;;;
XAAS;Amstetten;;;
TAM S;Amstetten     SM;;;
TAM;Amstetten(Württ);DE;10231;2008-12-14
DAMH;Amtshainersdf;DE;10232;2008-12-14
XIANI;Anagni;;;
AAMP;Anckelmannsplatz;DE;14378;2008-12-14
XIA;Ancona;;;
XOAD;Andalsnes;;;
XSANF;Andelfingen;;;
XSAN;Andermatt;;;
KAND;Andernach;DE;10234;2008-12-14
XAAD;Andorf;;;
XRAJ;Andrijevci;;;
XVAY;Aneby;;;
XOAB;Aneby         NO;;;
XVAG;Äng;;;
XVA;Angelholm;;;
LACF;Anger-Crottendf;DE;10235;2013-09-29
KANM;Angermund;DE;10238;2008-12-14
WA;Angermünde;DE;10236;2008-12-14
LANG;Angern-Rogätz;DE;10240;2008-12-14
FANG;Angersbach;DE;10241;2008-12-14
LAG;Angersdorf;DE;10242;2008-12-14
LAG O;Angersdorf Awo;DE;10243;2008-12-14
XAAG;Angertal;;;
MAGB;Anglberg;DE;10244;2008-12-14
XBAL;Angleur;;;
XFANG;Angouleme;;;
WAK;Anklam;DE;10245;2008-12-14
HANK;Ankum;;;
DABM;Annab-Buch Mi;DE;10246;2008-12-14
DAB;Annab-Buchh Süd;DE;10248;2008-12-14
DABU;Annab-Buchh unt;DE;10249;2008-12-14
XVAN;Annaberg;;;
LAB;Annaburg;DE;10250;2008-12-14
KDNS;Annakirmesplatz;;;
EANN;Anneliese;DE;13723;2008-12-14
HAHD;Annenheide;;;
RAN;Annweiler a Tri;DE;10252;2008-12-14
KANR;Anrath;DE;10256;2008-12-14
EART;Anröchte;;;
XBANS;Ans;;;
NAN;Ansbach;DE;10257;2008-12-14
NANS;Ansbach Stadt;DE;10258;2008-12-14
XEAS;Antequera-S A;;;
XFAN;Antibes;;;
DATL;Antonsthal;DE;10259;2008-12-14
XBAWC;Antw Cirkeldijk;;;
XBAWA;Antw DS Angola;;;
XBAM;Antw Main Hub;;;
XBAWB;Antw-DS Berendr;;;
XBAWZ;Antw-DS Zandvl;;;
XBAKB;Antwerp DS BASF;;;
XBAWO;Antwerp-DS Oord;;;
XBAW;Antwerpen DS;;;
XBAC;Antwerpen-Centr;;;
XBAD;Antwerpen-Dam;;;
XBAK;Antwerpen-Kiel;;;
XBAN;Antwerpen-Noord;;;
XBAZ;Antwerpen-Zuid;;;
XBAS;Antwerp-Schijnp;;;
XBAAN;Antw-Waaslhvn No;;;
XBAA;Antw-Waaslhvn Zu;;;
NAWN;Anwanden;DE;10260;2008-12-14
FAZ;Anzefahr;DE;10261;2008-12-14
MAK;Anzenkirchen;DE;10262;2008-12-14
XFAP;Apach;;;
XMAF;Apafa;;;
XNAE;Apeldoorn;;;
AAPL;Apeler;;;
AAPS;Apensen;;;
UAP;Apolda;DE;10263;2008-12-14
RAP;Appenweier;DE;10264;2008-12-14
RAPP;Appenweier Hp;DE;10265;2010-12-12
RAPK;Appenweier Kurve;DE;10266;2008-12-14
RAPR;Appenweier Nord;DE;10267;2008-12-14
XNAP;Appingedam;;;
XUA;Arad;;;
XUAN;Aradu Nou;;;
XCAM;Aramil;;;
XSAB;Arbon;;;
XSABS;Arbon          S;;;
XEAF;Archena-Fortuna;;;
XFAA;Arcis-sur-Aube;;;
XDAD;Arden;;;
EARE;Ardey;DE;10269;2008-12-14
XIAR;Arena Po;;;
LAS;Arendsee (Altm);DE;10270;2011-02-01
LAF;Arensdorf;DE;10271;2008-12-14
UAR;Arenshausen;DE;10272;2008-12-14
UQAR;Arenshausen 6343;DE;10274;2008-12-14
XIAZ;Arezzo;;;
FAF;Arfurt (Lahn);DE;10275;2008-12-14
XFAR;Argeles sur Mer;;;
BARK;Arkenberge;DE;10835;2008-12-14
ZIA;Arklow;;;
XFARL;Arles;;;
KARL;Arloff;DE;10276;2008-12-14
XBAR;Arlon;;;
HARS;Armsen;;;
FARM;Armsheim;DE;10277;2008-12-14
XOAR;Arna;;;
MANB;Arnbach;DE;10278;2008-12-14
XDAB;Arnbjerg;;;
TAR;Arnegg;DE;10279;2008-12-14
XOAE;Arnes;;;
XNAH;Arnhem;;;
XNAHG;Arnhem GS;;;
XAAR;Arnoldstein;;;
EARB;Arnsberg;DE;10280;2008-12-14
EARS;Arnsberg Süd;;;
EARJ;Arnsbg Jägerbr;;;
NARG;Arnschwang;DE;10281;2008-12-14
DAF;Arnsdorf (b Dre);DE;10282;2008-12-14
DAF N;Arnsdorf Nord;DE;10283;2009-11-04
DAF W;Arnsdorf West;DE;10284;2009-11-04
UA;Arnstadt Hbf;DE;10285;2008-12-14
UASD;Arnstadt Süd;DE;10287;2008-12-14
NARN;Arnstein (Ufr);DE;10288;2008-12-14
XIAN;Arona;;;
XSAO;Arosa;;;
XIAQ;Arquata Scrivia;;;
NARR;Arrach;;;
XFAS;Arras;;;
KARS;Arsbeck;DE;10291;2008-12-14
XFAY;Artenay;;;
UAT;Artern;DE;10292;2008-12-14
UATG;Artern DB-Gr;DE;10293;2009-12-13
XSAG;Arth-Goldau;;;
XFARV;Arvant;;;
XCAZ;Arzamas 2;;;
NAZ;Arzberg (Oberfr);DE;10294;2008-12-14
XFARZ;Arzviller;;;
XTAS;As;;;
XOAS;As            NO;;;
NAH A;Aschaff Hbf Ausf;DE;10297;2008-12-14
NAH E;Aschaff Hbf Einf;DE;10298;2008-12-14
NAH;Aschaffenbg Hbf;DE;10296;2008-12-14
NAHA;Aschaffenbg Hfn;;;
NASU;Aschaffenbg Süd;DE;10301;2008-12-14
NANI;Aschaff-Nilkheim;DE;10304;2009-12-13
MASC;Aschau/Chiemgau;DE;10307;2009-01-24
EASB;Ascheberg;DE;10309;2008-12-14
AAG;Ascheberg/Holst;DE;10308;2008-12-14
HASD;Aschendorf;DE;10310;2008-12-14
LAL;Aschersleben;DE;10311;2008-12-14
MASL;Asch-Leeder;DE;10312;2008-12-14
AASN;Ashausen;DE;10313;2014-08-14
AASA;Ashausen Abzw;DE;10314;2014-08-14
XKA;Ashford;;;
XKAI;Ashford Int;;;
XOAK;Asker;;;
XIASO;Asola;;;
XVAD;Aspedalen;;;
XVAP;Aspen;;;
TAX;Asperg;DE;10315;2008-12-14
XVAB;Assberg;;;
XBASS;Asse;;;
RASH;Asselheim;DE;10316;2008-12-14
FAS;Assenheim/Oberh;DE;10317;2008-12-14
XIASI;Assisi;;;
FAL;Aßlar;DE;10318;2008-12-14
MAG;Aßling/Obb;DE;10319;2008-12-14
FAH;Assmannshausen;DE;10320;2010-11-12
ZKAK;Astana;;;
XBA;Astene;;;
XAAF;Asten-St Florian;;;
XIAST;Asti;;;
XMAD;Aszod;;;
XMAZ;Aszofö;;;
XCAR;Atbassar;;;
XGA;Athenes;;;
XCAT;Atkarsk;;;
XOAT;Atna;;;
EAT;Attendorn;DE;10321;2008-12-14
BATS;Attilastraße;DE;10836;2008-12-14
XAAT;Attnang-Puchheim;;;
XVAT;Atvidaberg;;;
MAAU;Au (Illertissen);DE;10323;2008-12-14
KAU;Au (Sieg);DE;10324;2008-12-14
KQAU;Au (Sieg) NRW/RP;DE;10326;2008-12-14
RWSA;Au im Murgtal;DE;10327;2008-12-19
XSAU;Au SG;;;
XSAZ;Au ZH;;;
TBFA;Audi;DE;10441;2008-12-14
XOAU;Audnedal;;;
XLAT;Audun-le-Tiche;;;
DAU;Aue (Sachs);DE;10328;2008-12-14
DAUS;Aue E-Stadion;DE;10329;2008-12-14
UAE;Auehütte;DE;10332;2008-12-14
DAUO;Auerb (V) ob Bf;DE;10336;2008-12-14
DAUU;Auerb (V) unt Bf;DE;10337;2008-12-14
DAUW;Auerb (V) West;DE;10338;2008-12-14
DAUH;Auerbach (Vogtl);DE;10335;2008-12-14
RACH;Auerbach/Mosb B;DE;10333;2008-12-14
SAM;Auersmacher;DE;10340;2008-12-14
UAS;Auerstedt;DE;10341;2008-12-19
FKNZA;Auestadion;;;
EAWN;Aue-Wingeshausen;DE;10343;2008-12-14
RDOF;Aufen;DE;12295;2008-12-14
MAFE;Aufhausen;DE;10344;2008-12-14
TAUF;Aufhausen(Württ);DE;10345;2008-12-14
RAUG;Auggen;DE;10346;2010-12-12
NAUG;Augrabenbrücke;DE;13242;2008-12-14
MAHA;Augsb Haunst str;DE;10347;2009-12-13
MA  B;Augsb Hbf/Bbf S;DE;10349;2008-12-14
MAHI;Augsb Hirbl Str;DE;10350;2008-12-14
MAMS;Augsb Morellstr;DE;10352;2008-12-14
MA  M;Augsb Rbf Mitte;DE;10353;2008-12-14
MA  N;Augsb Rbf Nord;DE;10354;2008-12-14
MAHZF;Augsb-Hochz Abzw;DE;10357;2010-10-02
MAHZH;Augsb-Hochz Hp;DE;10358;2008-12-14
MAHZ;Augsb-Hochzoll;DE;10356;2008-12-14
MAOB;Augsb-Oberhausen;DE;10359;2008-12-14
MA;Augsburg Hbf;DE;10348;2008-12-14
MAGM;Augsburg Messe;DE;10351;2008-12-14
MA  S;Augsburg Rbf Süd;DE;10355;2008-12-14
MAR;Augsburg Ring;;;
MAW;Augsburg West;;;
KMK;Aug-Schmidt-Pl;;;
HAUG;Augustfehn;DE;10361;2008-12-14
MAUH;Auhausen;DE;10363;2009-02-11
AAU;Aukrug;DE;10364;2008-12-14
TAU;Aulendorf;DE;10365;2008-12-14
XFAU;Aulnoye;;;
XOAM;Auma          NO;;;
XFAUM;Aumale;;;
FAUM;Aumenau;DE;10368;2008-12-14
AAH;Aumühle;DE;10369;2011-12-11
AAH A;Aumühle Abzw;DE;10371;2011-12-11
XFAUN;Auneau;;;
FAM;Auringen-Medenb;DE;10373;2008-12-14
NAUR;Außenried;DE;10375;2008-12-14
EAU;Autobahn;DE;11459;2008-12-14
XBAU;auvelais;;;
SAUW;Auw an der Kyll;DE;10376;2008-12-14
XIAV;Aversa;;;
XFAVN;Avesnes;;;
XVAV;Avesta-Krylbo;;;
XFAV;Avignon Centre;;;
XFAVS;Avignon Sud;;;
XFAVC;Avignon-Fontcouv;;;
XFAVV;Avignon-TGV;;;
EPDW;AW Paderborn;DE;18234;2008-12-14
MAY;Aying;DE;10378;2008-12-14
XKAF;Aylesford;;;
DAZ;Az;DE;18586;2008-12-14
XUAZ;Azuga;;;
MBAK;B Aibl Kurpark;DE;10397;2008-12-14
WDOG;B Doberan Goethe;;;
WDOS;B Doberan Stadtm;;;
NXBE;B Eisenst Grenze;DE;10694;2008-12-14
AMAG;B Malente-Gremsm;DE;10489;2008-12-14
BPFG;B Saarow-Piesk G;DE;10522;2011-06-12
ASCA;B Schwart Abzw;DE;10544;2008-12-14
TBSB;B Sebastw-Belsen;DE;10545;2008-12-14
TUCW;B Urach Wasserf;;;
WBA;Baabe;;;
KBA;Baal;DE;10379;2008-12-14
KBAG;Baal Gbf;DE;10380;2008-12-14
LBB;Baalberge;DE;10382;2008-12-14
MBAE;Baar-Ebenhausen;DE;10383;2011-12-11
BBAB;Babelsberg;DE;18495;2008-12-14
FBA;Babenhausen;DE;10384;2008-12-14
FQBA;Babenhausen LGr;DE;10386;2008-12-14
RBST;Babstadt;DE;10389;2008-12-14
XTBY;Babylon;;;
XSBAE;Bäch;;;
FBCH;Bacharach;DE;10390;2008-12-14
MBCN;Bachern;DE;10391;2008-12-14
UB;Bachfeld;DE;10392;2008-12-14
RBH;Bachheim;DE;10393;2008-12-14
TB;Backnang;DE;10394;2008-12-14
NBAB;Bad Abbach;DE;10395;2008-12-14
MBAI;Bad Aibling;DE;10396;2008-12-14
FAR;Bad Arolsen;DE;10398;2008-12-14
XABA;Bad Aussee;;;
HBED;Bad Bederkesa;;;
RBEL;Bad Bellingen;DE;10399;2008-12-14
BBIG;Bad Belzig;DE;10400;2011-12-11
HBTH;Bad Bentheim;DE;10401;2008-12-14
HXB;Bad Bentheim Gr;DE;10402;2008-12-14
HBTN;Bad Bentheim Nrd;;;
RBZB;Bad Bergzabern;DE;10403;2008-12-14
UBB;Bad Berka;DE;10404;2008-12-14
UBBZ;Bad Berka Zeugh;DE;10406;2008-12-14
EBLB;Bad Berleburg;DE;10407;2008-12-14
ABVS;Bad Bevensen;DE;10408;2008-12-14
MBIB;Bad Birnbach;DE;10410;2008-12-14
UBL;Bad Blankenburg;DE;10411;2008-12-14
XABB;Bad Blumau;;;
KBOD;Bad Bodendorf;DE;10412;2008-12-14
DXBB;Bad Bramb Gr 2;DE;10417;2008-12-14
DXBC;Bad Bramb Gr 3;DE;10418;2008-12-14
DBM;Bad Brambach;DE;10415;2008-12-14
DXB;Bad Brambach Gr;DE;10416;2008-12-14
ABSK;Bad Bramst Kurh;;;
ABSD;Bad Bramstedt;;;
KBRE;Bad Breisig;DE;10419;2008-12-14
FCA;Bad Camberg;DE;10421;2008-12-14
WDO;Bad Doberan;DE;10422;2008-12-14
HBDG;Bad Driburg;DE;10423;2008-12-14
LDU;Bad Düben(Mulde);DE;10424;2009-04-02
RBDK;Bad Dürkh. (RHB);;;
RBDO;Bad Dürkh. Ost;;;
RBDH;Bad Dürkheim;DE;10425;2008-12-14
RBDT;Bad Dürkhm-Trift;DE;10426;2008-12-14
